Date	Time	JD	PH_GEO.AH06B.CCO %
4/14/15	0:00:00	2457126.50	4.779336
4/14/15	0:07:43	2457126.51	8.757129
4/14/15	0:22:43	2457126.52	0
4/14/15	0:37:43	2457126.53	0
4/14/15	0:52:43	2457126.54	100
4/14/15	1:07:43	2457126.55	0
4/14/15	1:22:43	2457126.56	87.066673
4/14/15	1:37:43	2457126.57	0
4/14/15	1:52:43	2457126.58	0
4/14/15	2:07:43	2457126.59	100
4/14/15	2:22:43	2457126.60	0
4/14/15	2:37:43	2457126.61	64.188408
4/14/15	2:52:43	2457126.62	100
4/14/15	3:07:43	2457126.63	0
4/14/15	3:22:43	2457126.64	89.19268
4/14/15	3:37:43	2457126.65	75.846252
4/14/15	3:52:43	2457126.66	0
4/14/15	4:07:43	2457126.67	96.636772
4/14/15	4:22:43	2457126.68	50.434441
4/14/15	4:37:43	2457126.69	0
4/14/15	4:52:43	2457126.70	97.953453
4/14/15	5:07:43	2457126.71	52.395042
4/14/15	5:22:43	2457126.72	0
4/14/15	5:37:43	2457126.73	97.556023
4/14/15	5:52:43	2457126.74	68.45575
4/14/15	6:07:43	2457126.76	0
4/14/15	6:22:43	2457126.77	95.849396
4/14/15	6:37:43	2457126.78	99.627556
4/14/15	6:52:43	2457126.79	0
4/14/15	7:07:43	2457126.80	29.00079
4/14/15	7:22:43	2457126.81	0
4/14/15	7:37:43	2457126.82	0
4/14/15	7:52:43	2457126.83	0
4/14/15	8:07:43	2457126.84	0
4/14/15	8:22:43	2457126.85	0
4/14/15	8:37:43	2457126.86	0
4/14/15	8:52:43	2457126.87	0
4/14/15	9:07:43	2457126.88	0
4/14/15	9:22:43	2457126.89	0
4/14/15	9:37:43	2457126.90	0
4/14/15	9:52:43	2457126.91	0
4/14/15	10:07:43	2457126.92	0
4/14/15	10:22:43	2457126.93	0
4/14/15	10:37:43	2457126.94	0
4/14/15	10:52:43	2457126.95	0
4/14/15	11:07:43	2457126.96	0
4/14/15	11:22:43	2457126.97	0
4/14/15	11:37:43	2457126.98	0
4/14/15	11:52:43	2457126.99	0
4/14/15	12:07:43	2457127.01	0
4/14/15	12:22:43	2457127.02	0
4/14/15	12:37:43	2457127.03	0
4/14/15	12:52:43	2457127.04	0
4/14/15	13:07:43	2457127.05	0
4/14/15	13:22:43	2457127.06	0
4/14/15	13:37:43	2457127.07	0
4/14/15	13:52:43	2457127.08	0
4/14/15	14:07:43	2457127.09	0
4/14/15	14:22:43	2457127.10	0
4/14/15	14:37:43	2457127.11	0.846274
