summary_date,site,monitor,pm25_davg,name,obs_count,units,basin,county_name,state,latitude,longitude 
2017-01-01,2143,-,9.6,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-01-02,2143,-,3.8,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-01-03,2143,-,8.7,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-01-04,2143,-,4.5,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-01-05,2143,-,4.0,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-01-06,2143,-,4.9,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-01-07,2143,-,6.7,Davis-UCD Campus,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-01-08,2143,-,5.8,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-01-09,2143,-,5.3,Davis-UCD Campus,22,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-01-10,2143,-,7.7,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-01-11,2143,-,2.8,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-01-12,2143,-,2.3,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-01-13,2143,-,3.8,Davis-UCD Campus,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-01-14,2143,-,10.8,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-01-15,2143,-,16.4,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-01-16,2143,-,16.4,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
